"Indicator Name","Cancer Type","Year","Country Name","Region","Gender","Area","Numeric","Lower Confidence Limit","Upper Confidence Limit","Comment",
"Physical inactivity, adults aged 18+","","2022","Gabon","African Region","Females","","24.606415","4.1846218","58.060043","",
"Physical inactivity, adults aged 18+","","2022","Gambia","African Region","Total","","21.154228","9.9483881","35.587132","",
"Physical inactivity, adults aged 18+","","2022","Gambia","African Region","Males","","17.005886","5.6457558","34.41795","",
"Physical inactivity, adults aged 18+","","2022","Gambia","African Region","Females","","25.079203","8.2190151","49.971859","",
"Physical inactivity, adults aged 18+","","2022","Georgia","European Region","Total","","24.019255","15.278721","34.624493","",
"Physical inactivity, adults aged 18+","","2022","Georgia","European Region","Males","","24.168282","12.60948","38.745491","",
"Physical inactivity, adults aged 18+","","2022","Georgia","European Region","Females","","23.771418","11.901167","39.094757","",
"Physical inactivity, adults aged 18+","","2022","Germany","European Region","Total","","11.978459","9.1991043","15.146149","",
"Physical inactivity, adults aged 18+","","2022","Germany","European Region","Males","","12.358364","8.6535473","16.792601","",
"Physical inactivity, adults aged 18+","","2022","Germany","European Region","Females","","11.589286","7.7878633","16.156948","",
"Physical inactivity, adults aged 18+","","2022","Ghana","African Region","Total","","21.162224","11.881693","32.829487","",
"Physical inactivity, adults aged 18+","","2022","Ghana","African Region","Males","","18.165522","7.9208946","32.759914","",
"Physical inactivity, adults aged 18+","","2022","Ghana","African Region","Females","","23.998734","9.8383379","43.048744","",
"Physical inactivity, adults aged 18+","","2022","Greece","European Region","Total","","35.195946","27.191984","43.676811","",
"Physical inactivity, adults aged 18+","","2022","Greece","European Region","Males","","33.060665","22.768742","44.096275","",
"Physical inactivity, adults aged 18+","","2022","Greece","European Region","Females","","37.334476","25.578075","50.198639","",
"Physical inactivity, adults aged 18+","","2022","Grenada","Region of the Americas","Total","","35.869469","20.731268","52.481228","",
"Physical inactivity, adults aged 18+","","2022","Grenada","Region of the Americas","Males","","28.789768","12.482369","50.291122","",
